mascot,seed,data_mascot,data_article,data_date,data_views
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-30,172
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-10-31,151
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-01,367
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-02,265
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-03,228
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-04,202
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-05,179
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-06,214
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-07,190
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-08,548
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-09,436
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-10,237
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-11,158
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-12,197
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-13,240
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-14,188
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-15,389
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-16,286
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-17,293
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-18,267
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-19,226
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-20,215
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-21,198
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-22,243
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-23,216
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-24,193
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-25,193
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-26,271
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-27,165
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-28,193
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-29,808
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-11-30,428
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-12-01,289
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-12-02,231
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-12-03,292
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-12-04,384
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-12-05,303
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-12-06,714
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-12-07,5384
Hoosier,1,Hoosier,Indiana_Hoosiers,2025-12-08,850
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-01,63
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-02,66
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-03,78
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-04,71
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-05,63
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-06,85
